gene,disease
POMGNT1,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A3"
POMGNT2,"Muscular Dystrophy-Dystroglycanopathy (Limb-Girdle), Type C, 8"
POMGNT2,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A, 8"
POMK,Limb-Girdle Muscular Dystrophy Due To Pomk Deficiency
POMK,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A, 12"
POMP,Keratosis Linearis-Ichthyosis Congenita-Sclerosing Keratoderma Syndrome
POMP,Proteasome-Associated Autoinflammatory Syndrome 2
POMT1,Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2K
POMT1,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Intellectual Disability), Type B1"
POMT1,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A1"
POMT2,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A1"
POMT2,Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2N
POMT2,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A2"
POMT2,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Intellectual Disability), Type B2"
POP1,Anauxetic Dysplasia 2
POPDC1,Autosomal Recessive Limb-Girdle Muscular Dystrophy Type 2X
POPDC2,Cardiac Conduction Disease With Or Without Cardiomyopathy 2
POPDC3,"Muscular Dystrophy, Limb-Girdle, Autosomal Recessive 26"
POR,Antley-Bixler Syndrome With Genital Anomalies And Disordered Steroidogenesis
POR,Congenital Adrenal Hyperplasia Due To Cytochrome P450 Oxidoreductase Deficiency
POR,Antley-Bixler Syndrome Without Genital Anomalies Or Disordered Steroidogenesis
PORCN,Anophthalmia-Microphthalmia Syndrome
PORCN,Focal Dermal Hypoplasia
POT1,"Pulmonary Fibrosis And/Or Bone Marrow Failure Syndrome, Telomere-Related, 8"
POT1,Cerebroretinal Microangiopathy With Calcifications And Cysts 3
POT1,Tumor Predisposition Syndrome 3
POU1F1,"Pituitary Hormone Deficiency, Combined, 1"
POU3F3,Snijders Blok-Fisher Syndrome
POU3F4,Hereditary Hearing Loss And Deafness
POU3F4,X-Linked Mixed Hearing Loss With Perilymphatic Gusher
POU4F1,"Ataxia, Intention Tremor, And Hypotonia Syndrome, Childhood-Onset"
POU4F3,Autosomal Dominant Nonsyndromic Hearing Loss 15
POU4F3,Hereditary Hearing Loss And Deafness
POU6F2,Wilms Tumor 5
PPA2,"Sudden Cardiac Failure, Infantile"
PPA2,"Sudden Cardiac Failure, Alcohol-Induced"
PPARG,Type 2 Diabetes Mellitus
PPARG,Pparg-Related Familial Partial Lipodystrophy
PPARG,Inherited Obesity
PPCS,"Cardiomyopathy, Dilated, 2C"
PPFIA3,Paul-Chao Neurodevelopmental Syndrome
PPFIBP1,"Neurodevelopmental Disorder With Seizures, Microcephaly, And Brain Abnormalities"
PPIB,Osteogenesis Imperfecta Type 9
PPIL1,"Pontocerebellar Hypoplasia, Type 14"
PPIP5K2,"Hearing Loss, Autosomal Recessive 100"
PPM1D,Intellectual Developmental Disorder With Gastrointestinal Difficulties And High Pain Threshold
PPM1D,Familial Cancer Of Breast
PPM1K,"Maple Syrup Urine Disease, Mild Variant"
PPOX,Variegate Porphyria
PPOX,"Variegate Porphyria, Childhood-Onset"
PPP1CB,Noonan Syndrome-Like Disorder With Loose Anagen Hair 2
PPP1R12A,Genitourinary And/Or Brain Malformation Syndrome
PPP1R13L,Arrhythmogenic Cardiomyopathy With Variable Ectodermal Abnormalities
PPP1R15B,"Microcephaly, Short Stature, And Impaired Glucose Metabolism 2"
PPP1R17,"Hypercholesterolemia, Familial, 1"
PPP1R21,"Neurodevelopmental Disorder With Hypotonia, Facial Dysmorphism, And Brain Abnormalities"
PPP1R3A,Type 2 Diabetes Mellitus
PPP2CA,Houge-Janssens Syndrome 3
PPP2R1A,Houge-Janssens Syndrome 2
PPP2R1B,Lung Cancer
PPP2R2B,Spinocerebellar Ataxia Type 12
PPP2R3C,"Gonadal Dysgenesis, Dysmorphic Facies, Retinal Dystrophy, And Myopathy"
PPP2R3C,Spermatogenic Failure 36
PPP2R5C,Houge-Janssens Syndrome 4
PPP2R5D,Hogue-Janssens Syndrome 1
PPP3CA,Developmental And Epileptic Encephalopathy 91
PPP3CA,"Arthrogryposis, Cleft Palate, Craniosynostosis, And Impaired Intellectual Development"
PPT1,Neuronal Ceroid Lipofuscinosis 1
PQBP1,Renpenning Syndrome
PRCC,Papillary Renal Cell Carcinoma Type 1
PRCD,Retinitis Pigmentosa 36
PRDM10,Birt-Hogg-Dube Syndrome 2
PRDM12,Congenital Insensitivity To Pain-Hypohidrosis Syndrome
PRDM13,"Pontocerebellar Hypoplasia, Iia 17"
PRDM13,"Cerebellar Dysfunction, Impaired Intellectual Development, And Hypogonadotropic Hypogonadism"
PRDM16,Left Ventricular Noncompaction 8
PRDM5,Brittle Cornea Syndrome 2
PRDM6,Patent Ductus Arteriosus 3
PRDM8,Early-Onset Lafora Body Disease
PRDX1,Cobalamin C Disease
PRDX3,"Corneal Dystrophy, Punctiform And Polychromatic Pre-Descemet"
PRDX3,"Spinocerebellar Ataxia, Autosomal Recessive 32"
PREPL,Congenital Myasthenic Syndrome
PREPL,"Myasthenic Syndrome, Congenital, 22"
PRF1,Familial Hemophagocytic Lymphohistiocytosis 2
PRF1,Aplastic Anemia
PRF1,"Lymphoma, Non-Hodgkin, Familial"
PRG4,Camptodactyly-Arthropathy-Coxa Vara-Pericarditis Syndrome
PRICKLE1,"Epilepsy, Progressive Myoclonic, 1B"
PRICKLE3,"Leber Optic Atrophy, Susceptibility To"
PRIM1,Primordial Dwarfism-Immunodeficiency-Lipodystrophy Syndrome
PRIMPOL,"Myopia 22, Autosomal Dominant"
PRKACA,Cardioacrofacial Dysplasia 1
PRKACA,"Pigmented Nodular Adrenocortical Disease, Primary, 4"
PRKACB,Cardioacrofacial Dysplasia 2
PRKACG,Platelet-Type Bleeding Disorder 19
PRKAG2,Primary Familial Hypertrophic Cardiomyopathy
PRKAG2,Lethal Congenital Glycogen Storage Disease Of Heart
PRKAG2,Hypertrophic Cardiomyopathy 6
PRKAG2,Wolff-Parkinson-White Pattern
PRKAG3,Skeletal Muscle Glycogen Content And Metabolism Quantitative Trait Locus
PRKAR1A,"Pigmented Nodular Adrenocortical Disease, Primary, 1"
PRKAR1A,Acrodysostosis 1 With Or Without Hormone Resistance
PRKAR1A,"Carney Complex, Type 1"
PRKAR1A,Familial Atrial Myxoma
PRKAR1B,Marbach-Schaaf Neurodevelopmental Syndrome
PRKCD,"Autoimmune Lymphoproliferative Syndrome, Type Iii Caused By Mutation In Prkcd"
PRKCG,Spinocerebellar Ataxia Type 14
PRKCSH,Polycystic Liver Disease 1
PRKD1,Congenital Heart Defects And Ectodermal Dysplasia
PRKDC,Severe Combined Immunodeficiency Due To Dna-Pkcs Deficiency
PRKG1,"Aortic Aneurysm, Familial Thoracic 8"
PRKG2,Acromesomelic Dysplasia 4
PRKG2,"Spondylometaphyseal Dysplasia, Pagnamenta Type"
PRKN,Lung Cancer
PRKN,Autosomal Recessive Juvenile Parkinson Disease 2
PRKN,Ovarian Cancer
PRKRA,Dystonic Disorder
PRKRA,Dystonia 16
PRLR,Familial Hyperprolactinemia
PRLR,Multiple Fibroadenoma Of The Breast
PRMT7,Short Stature-Brachydactyly-Obesity-Global Developmental Delay Syndrome
PRNP,Inherited Prion Disease
PRNP,Fatal Familial Insomnia
PRNP,Gerstmann-Straussler-Scheinker Syndrome
PRNP,Huntington Disease-Like 1
PRNP,"Kuru, Susceptibility To"
PRNP,Spongiform Encephalopathy With Neuropsychiatric Features
PRNP,Inherited Creutzfeldt-Jakob Disease
PROC,"Thrombophilia Due To Protein C Deficiency, Autosomal Dominant"
PROC,"Thrombophilia Due To Protein C Deficiency, Autosomal Recessive"
PRODH,Schizophrenia 4
PRODH,Proline Dehydrogenase Deficiency
PROK2,Hypogonadotropic Hypogonadism 7 With Or Without Anosmia
PROK2,Hypogonadotropic Hypogonadism 4 With Or Without Anosmia
PROKR2,Hypogonadotropic Hypogonadism 7 With Or Without Anosmia
PROKR2,Hypogonadotropic Hypogonadism 3 With Or Without Anosmia
PROM1,Stargardt Disease 4
PROM1,Cone-Rod Dystrophy 12
PROM1,Retinal Macular Dystrophy Type 2
PROM1,Retinitis Pigmentosa 41
PROP1,"Pituitary Hormone Deficiency, Combined, 2"
PRORP,Combined Oxidative Phosphorylation Deficiency 54
PROS1,"Thrombophilia Due To Protein S Deficiency, Autosomal Recessive"
PROS1,"Thrombophilia Due To Protein S Deficiency, Autosomal Dominant"
PROZ,Protein Z Deficiency
PRPF3,Retinitis Pigmentosa 18
PRPF31,Retinitis Pigmentosa 11
PRPF4,Retinitis Pigmentosa 70
PRPF6,Retinitis Pigmentosa 60
PRPF8,Retinitis Pigmentosa 13
PRPH,Amyotrophic Lateral Sclerosis Type 1
PRPH2,"Choroidal Dystrophy, Central Areolar 2"
PRPH2,Vitelliform Macular Dystrophy 3
PRPH2,Retinitis Pigmentosa 7
PRPH2,Patterned Macular Dystrophy 1
PRPH2,Pigmentary Retinal Dystrophy
PRPH2,Cone-Rod Dystrophy
PRPS1,Hereditary Hearing Loss And Deafness
PRPS1,Arts Syndrome
PRPS1,Charcot-Marie-Tooth Disease X-Linked Recessive 5
PRPS1,"Hearing Loss, X-Linked 1"
PRPS1,Phosphoribosylpyrophosphate Synthetase Superactivity
PRPS1,Charcot-Marie-Tooth Neuropathy X
PRR12,Neuroocular Syndrome 1
PRRT2,"Seizures, Benign Familial Infantile, 2"
PRRT2,Episodic Kinesigenic Dyskinesia 1
PRRT2,Infantile Convulsions And Choreoathetosis
PRRX1,Agnathia-Otocephaly Complex
PRSS1,Hereditary Pancreatitis
PRSS12,"Intellectual Disability, Autosomal Recessive 1"
PRSS2,Hereditary Pancreatitis
PRSS56,Isolated Microphthalmia 6
PRUNE1,"Neurodevelopmental Disorder With Microcephaly, Hypotonia, And Variable Brain Anomalies"
PRX,Charcot-Marie-Tooth Disease
PRX,Charcot-Marie-Tooth Disease Type 4F
PRX,Dejerine-Sottas Disease
PRY,"Spermatogenic Failure, Y-Linked, 2"
PRY2,"Spermatogenic Failure, Y-Linked, 2"
PSAP,Combined Psap Deficiency
PSAP,Gaucher Disease Due To Saposin C Deficiency
PSAP,"Parkinson Disease 24, Autosomal Dominant, Susceptibility To"
PSAP,Sphingolipid Activator Protein 1 Deficiency
PSAP,Krabbe Disease Due To Saposin A Deficiency
PSAT1,Psat Deficiency
PSAT1,Neu-Laxova Syndrome 2
PSEN1,Frontotemporal Dementia
PSEN1,Alzheimer Disease 3
PSEN1,Dilated Cardiomyopathy 1U
PSEN1,Primary Dilated Cardiomyopathy
PSEN1,Pick Disease
PSEN1,"Acne Inversa, Familial, 3"
PSEN2,Primary Dilated Cardiomyopathy
PSEN2,Alzheimer Disease 4
PSEN2,Dilated Cardiomyopathy 1V
PSENEN,"Acne Inversa, Familial, 2"
PSKH1,"Cholestasis, Progressive Familial Intrahepatic, 13"
PSMA6,"Myocardial Infarction, Susceptibility To"
PSMB1,"Neurodevelopmental Disorder With Microcephaly, Hypotonia, And Absent Language"
PSMB4,Proteasome-Associated Autoinflammatory Syndrome 3
PSMB8,Proteasome-Associated Autoinflammatory Syndrome 1
PSMB9,Proteasome-Associated Autoinflammatory Syndrome 6
PSMC1,"Neurodevelopmental Disorder With Poor Growth, Spastic Tetraplegia, And Hearing Loss"
PSMC3,"Deafness, Cataract, Impaired Intellectual Development, And Polyneuropathy"
PSMC3,Ebstein-Bezieau Neurodevelopmental Syndrome
PSMC3IP,Ovarian Dysgenesis 3
PSMD12,Stankiewicz-Isidor Syndrome
PSMG2,Proteasome-Associated Autoinflammatory Syndrome 4
PSPH,Deficiency Of Phosphoserine Phosphatase
PSTPIP1,Hyperzincemia And Hypercalprotectinemia
PSTPIP1,Pyogenic Arthritis-Pyoderma Gangrenosum-Acne Syndrome
PTBP1,Stad Syndrome
PTCD3,Combined Oxidative Phosphorylation Deficiency 51
PTCH1,"Basal Cell Carcinoma, Susceptibility To, 1"
PTCH1,Holoprosencephaly 7
PTCH1,Basal Cell Nevus Syndrome 1
PTCH1,Holoprosencephaly Sequence
PTCH1,Gorlin Syndrome
PTCH2,Medulloblastoma
PTCH2,"Basal Cell Carcinoma, Susceptibility To, 1"
PTCHD1,"Autism, Susceptibility To, X-Linked 4"
PTCHD1,Autism Spectrum Disorder
PTCRA,"Immunodeficiency 126, Susceptibility To"
PTDSS1,Lenz-Majewski Hyperostosis Syndrome
PTEN,Cowden Syndrome 1
PTEN,Familial Prostate Cancer
PTEN,Familial Meningioma
PTEN,Macrocephaly-Autism Syndrome
PTEN,Glioma Susceptibility 2
PTF1A,Pancreatic Agenesis 2
PTF1A,Permanent Neonatal Diabetes Mellitus-Pancreatic And Cerebellar Agenesis Syndrome
PTGDR,"Asthma-Related Traits, Susceptibility To, 1"
PTGER2,"Asthma, Nasal Polyps, And Aspirin Intolerance"
PTGIS,"Essential Hypertension, Genetic"
PTH,"Hypoparathyroidism, Familial Isolated 1"
PTH1R,Primary Failure Of Tooth Eruption
PTH1R,Chondrodysplasia Blomstrand Type
PTH1R,Eiken Syndrome
PTH1R,"Metaphyseal Chondrodysplasia, Jansen Type"
PTHLH,Brachydactyly Type E2
PTPA,"Parkinson Disease 25, Autosomal Recessive Early-Onset, With Impaired Intellectual Development"
PTPMT1,Neurodevelopmental Disorder With Ataxia And Brain Abnormalities
PTPN1,Type 2 Diabetes Mellitus
PTPN11,Metachondromatosis
PTPN11,Noonan Syndrome 1
PTPN11,Juvenile Myelomonocytic Leukemia
PTPN11,Leopard Syndrome 1
PTPN12,Colorectal Cancer
PTPN14,Lymphedema-Posterior Choanal Atresia Syndrome
PTPN23,Neurodevelopmental Disorder And Structural Brain Anomalies With Or Without Seizures And Spasticity
PTPRC,Immunodeficiency 105
PTPRF,"Breasts And/Or Nipples, Aplasia Or Hypoplasia Of, 2"
PTPRJ,Thrombocytopenia 10
PTPRJ,Colorectal Cancer
PTPRO,"Nephrotic Syndrome, Type 6"
PTPRQ,Autosomal Recessive Nonsyndromic Hearing Loss 84A
PTPRQ,"Hearing Loss, Autosomal Dominant 73"
PTRH2,"Neurologic, Endocrine, And Pancreatic Disease, Multisystem, Infantile-Onset 1"
PTRH2,Charcot-Marie-Tooth Disease
PTRHD1,Neurodevelopmental Disorder With Early-Onset Parkinsonism And Behavioral Abnormalities
PTS,6-Pyruvoyl-Tetrahydrobiopterin Synthase Deficiency
PUF60,8Q24.3 Microdeletion Syndrome
PUM1,Spinocerebellar Ataxia 47
PURA,Pura-Related Severe Neonatal Hypotonia-Seizures-Encephalopathy Syndrome
PUS1,"Myopathy, Lactic Acidosis, And Sideroblastic Anemia 1"
PUS3,Severe Growth Deficiency-Strabismus-Extensive Dermal Melanocytosis-Intellectual Disability Syndrome
PUS7,"Intellectual Developmental Disorder With Abnormal Behavior, Microcephaly, And Short Stature"
PWAR1,Prader-Willi Syndrome
PWRN1,Prader-Willi Syndrome
PXDN,Anterior Segment Dysgenesis 7
PYCR1,Autosomal Recessive Cutis Laxa Type 2B
PYCR1,Pycr1-Related De Barsy Syndrome
PYCR2,Hypomyelinating Leukodystrophy 10
PYGL,"Glycogen Storage Disease, Type Vi"
PYGM,"Glycogen Storage Disease, Type V"
PYROXD1,Myofibrillar Myopathy 8
QARS1,Diffuse Cerebral And Cerebellar Atrophy - Intractable Seizures - Progressive Microcephaly Syndrome
QDPR,Dihydropteridine Reductase Deficiency
QRICH1,Ververi-Brady Syndrome 1
QRICH2,Spermatogenic Failure 35
QRSL1,Combined Oxidative Phosphorylation Deficiency 40
RAB11B,"Neurodevelopmental Disorder With Ataxic Gait, Absent Speech, And Decreased Cortical White Matter"
RAB18,Warburg Micro Syndrome 3
RAB23,Rab23-Related Carpenter Syndrome
RAB27A,Griscelli Syndrome Type 2
RAB28,Cone-Rod Dystrophy 18
RAB32,"Parkinson Disease 26, Autosomal Dominant, Susceptibility To"
RAB33B,Smith-Mccort Dysplasia 2
RAB34,Orofaciodigital Syndrome 20
RAB39B,"Intellectual Disability, X-Linked 72"
RAB39B,Early-Onset Parkinsonism-Intellectual Disability Syndrome
RAB39B,Chromosome Xq28 Duplication Syndrome
RAB3GAP1,Martsolf Syndrome 2
RAB3GAP1,Warburg Micro Syndrome 1
RAB3GAP2,Warburg Micro Syndrome 2
RAB3GAP2,Martsolf Syndrome 1
RAB5IF,"Craniofacial Dysmorphism, Skeletal Anomalies, And Impaired Intellectual Development Syndrome 2"
RAB7A,Charcot-Marie-Tooth Disease
RAB7A,Charcot-Marie-Tooth Disease Type 2B
RABL3,"Pancreatic Cancer, Susceptibility To, 5"
RAC1,"Intellectual Disability, Autosomal Dominant 48"
RAC2,Neutrophil Immunodeficiency Syndrome
RAC2,Immunodeficiency 73B With Defective Neutrophil Chemotaxis And Lymphopenia
RAC2,Immunodeficiency 73C With Defective Neutrophil Chemotaxis And Hypogammaglobulinemia
RAC3,Neurodevelopmental Disorder With Structural Brain Anomalies And Dysmorphic Facies
RACGAP1,"Anemia, Congenital Dyserythropoietic, Type Iiib, Autosomal Recessive"
RAD21,Mungan Syndrome
RAD21,Cornelia De Lange Syndrome 4
RAD21,De Lange Syndrome
RAD50,Nijmegen Breakage Syndrome-Like Disorder
RAD51,Mirror Movements 1
RAD51,Mirror Movements 2
RAD51,Familial Cancer Of Breast
RAD51,Fanconi Anemia Complementation Group R
RAD51C,"Breast-Ovarian Cancer, Familial, Susceptibility To, 3"
RAD51C,Fanconi Anemia Complementation Group O
RAD51D,"Breast-Ovarian Cancer, Familial, Susceptibility To, 4"
RAD54B,"Lymphoma, Non-Hodgkin, Familial"
RAD54B,Colorectal Cancer
RAD54L,"Lymphoma, Non-Hodgkin, Familial"
RAD54L,Familial Cancer Of Breast
RAF1,Dilated Cardiomyopathy 1Nn
RAF1,Noonan Syndrome 5
RAF1,Leopard Syndrome 2
RAG1,"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, Nk Cell-Positive"
RAG1,Combined Immunodeficiency Due To Partial Rag1 Deficiency
RAG1,Histiocytic Medullary Reticulosis
RAG1,Combined Immunodeficiency With Skin Granulomas
RAG2,Combined Immunodeficiency With Skin Granulomas
RAG2,Histiocytic Medullary Reticulosis
RAG2,"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, Nk Cell-Positive"
RAI1,Smith-Magenis Syndrome
RAI1,17P11.2 Microduplication Syndrome
RALA,Hiatt-Neu-Cooper Neurodevelopmental Syndrome
RALGAPA1,"Neurodevelopmental Disorder With Hypotonia, Neonatal Respiratory Insufficiency, And Thermodysregulation"
RANBP2,Familial Acute Necrotizing Encephalopathy
RAP1B,Thrombocytopenia 11 With Multiple Congenital Anomalies And Dysmorphic Facies
RAP1GDS1,Alfadhel Syndrome
RAPGEF2,"Epilepsy, Familial Adult Myoclonic, 7"
RAPSN,Congenital Myasthenic Syndrome 11
RAPSN,Fetal Akinesia Deformation Sequence 2
RAPSN,Congenital Myasthenic Syndrome
RARA,Acute Promyelocytic Leukemia
RARB,"Microphthalmia, Syndromic 12"
RARS1,Hypomyelinating Leukodystrophy 9
RARS2,Pontocerebellar Hypoplasia Type 6
RASA1,"Basal Cell Carcinoma, Susceptibility To, 1"
RASA1,Capillary Malformation-Arteriovenous Malformation 1
RASA1,Parkes Weber Syndrome
RASGRP1,Immunodeficiency 64
RASGRP2,Platelet-Type Bleeding Disorder 18
RAX,Isolated Microphthalmia 3
RAX,Anophthalmia-Microphthalmia Syndrome
RAX2,Age Related Macular Degeneration 6
RAX2,Cone-Rod Dystrophy 11
RAX2,Retinitis Pigmentosa 95
RB1,Malignant Tumor Of Urinary Bladder
RB1,Bone Osteosarcoma
RB1,Retinoblastoma
RB1,Small Cell Lung Carcinoma
RB1CC1,Familial Cancer Of Breast
RBBP7,"Spermatogenic Failure, X-Linked, 9"
RBBP8,Seckel Syndrome 2
RBBP8,Jawad Syndrome
RBCK1,Polyglucosan Body Myopathy Type 1
RBL2,Brunet-Wagner Neurodevelopmental Syndrome
RBM10,Tarp Syndrome
RBM12,Schizophrenia 19
RBM20,Dilated Cardiomyopathy 1Dd
RBM20,Primary Dilated Cardiomyopathy
RBM28,Ane Syndrome
RBM8A,Radial Aplasia-Thrombocytopenia Syndrome
RBMX,Syndromic X-Linked Intellectual Disability Shashi Type
RBMX,"Severe X-Linked Intellectual Disability, Gustavson Type"
RBMY1A1,"Spermatogenic Failure, Y-Linked, 2"
RBP3,Retinitis Pigmentosa 66
RBP3,Retinitis Pigmentosa
RBP4,Progressive Retinal Dystrophy Due To Retinol Transport Defect
RBP4,"Microphthalmia, Isolated, With Coloboma 10"
RBPJ,Adams-Oliver Syndrome 3
RBSN,Kariminejad Neurodevelopmental Syndrome
RBSN,"Myelofibrosis, Congenital, With Anemia, Neutropenia, Developmental Delay, And Ocular Abnormalities"
RC3H1,"Hemophagocytic Lymphohistiocytosis, Familial, 6"
RCBTB1,Rcbtb1-Related Retinopathy
RCC1,Infection-Induced Acute-Onset Axonal Neuropathy
RD3,Leber Congenital Amaurosis 12
RDH11,Retinitis Pigmentosa-Juvenile Cataract-Short Stature-Intellectual Disability Syndrome
RDH12,Leber Congenital Amaurosis 13
RDH5,Pigmentary Retinal Dystrophy
RDH8,Stargardt Disease 5
RDX,Hereditary Hearing Loss And Deafness
RDX,Autosomal Recessive Nonsyndromic Hearing Loss 24
REC114,Oocyte Maturation Defect 10
RECQL,Recon Progeroid Syndrome
RECQL4,Rothmund-Thomson Syndrome Type 2
RECQL4,Baller-Gerold Syndrome
RECQL4,Rapadilino Syndrome
REEP1,"Neuronopathy, Distal Hereditary Motor, Type 5B"
REEP1,"Spinal Muscular Atrophy, Distal, Autosomal Recessive, 6"
REEP1,Hereditary Spastic Paraplegia 31
REEP2,Hereditary Spastic Paraplegia 72
REEP2,"Spastic Paraplegia 72B, Autosomal Recessive"
REEP6,Retinitis Pigmentosa 77
REL,Immunodeficiency 92
RELA,"Mucocutaneous Ulceration, Chronic"
RELB,Immunodeficiency 53
RELN,"Epilepsy, Familial Temporal Lobe, 1"
RELN,Familial Temporal Lobe Epilepsy 7
RELN,Norman-Roberts Syndrome
RELT,"Amelogenesis Imperfecta, Type 3C"
REN,Renal Tubular Dysgenesis Of Genetic Origin
REN,Familial Juvenile Hyperuricemic Nephropathy Type 2
REPS1,Neurodegeneration With Brain Iron Accumulation 7
RERE,"Neurodevelopmental Disorder With Or Without Anomalies Of The Brain, Eye, Or Heart"
REST,Autosomal Dominant Nonsyndromic Hearing Loss 27
REST,Wilms Tumor 6
REST,"Fibromatosis, Gingival, 5"
RET,Multiple Endocrine Neoplasia Type 2A
RET,Familial Medullary Thyroid Carcinoma
RET,Multiple Endocrine Neoplasia Type 2B
RET,Pheochromocytoma
RET,"Hirschsprung Disease, Susceptibility To, 1"
RETN,Type 2 Diabetes Mellitus
RETREG1,"Neuropathy, Hereditary Sensory And Autonomic, Type 2A"
RETREG1,"Neuropathy, Hereditary Sensory And Autonomic, Type 2B"
RETREG1,Hereditary Sensory And Autonomic Neuropathy Type 2
RFC1,Cerebellar Ataxia With Neuropathy And Bilateral Vestibular Areflexia Syndrome
RFC4,Morimoto-Ryu-Malicdan Neuromuscular Syndrome
RFT1,Rft1-Congenital Disorder Of Glycosylation
RFWD3,"Fanconi Anemia, Complementation Group W"
RFX5,Mhc Class Ii Deficiency 5
RFX5,Mhc Class Ii Deficiency 3
RFX6,Hypoplastic Pancreas-Intestinal Atresia-Hypoplastic Gallbalder Syndrome
RFX7,"Intellectual Developmental Disorder, Autosomal Dominant 71, With Behavioral Abnormalities"
RFXANK,Mhc Class Ii Deficiency 2
RFXAP,Mhc Class Ii Deficiency 4
RGR,Retinitis Pigmentosa 44
RGS5,"Essential Hypertension, Genetic"
RGS9,Prolonged Electroretinal Response Suppression 1
RGS9BP,Prolonged Electroretinal Response Suppression 2
RHAG,Overhydrated Hereditary Stomatocytosis
RHAG,"Rh-Null, Regulator Type"
RHBDF2,Palmoplantar Keratoderma-Esophageal Carcinoma Syndrome
RHCE,"Rh-Null, Amorph Type"
RHD,"Blood Group, Rh System"
RHD,"Hemolytic Disease Of Fetus And Newborn, Rh-Induced"
RHO,Congenital Stationary Night Blindness Autosomal Dominant 1
RHO,Retinitis Pigmentosa 4
RHO,Pigmentary Retinal Dystrophy
RHOA,"Ectodermal Dysplasia With Facial Dysmorphism And Acral, Ocular, And Brain Anomalies"
RHOBTB2,"Developmental And Epileptic Encephalopathy, 64"
RHOH,"Epidermodysplasia Verruciformis, Susceptibility To, 4"
RIC1,Catifa Syndrome
RIGI,Singleton-Merten Syndrome 2
RILPL1,Oculopharyngodistal Myopathy 4
RIMS2,"Cone-Rod Synaptic Disorder Syndrome, Congenital Nonprogressive"
